ID,TRT,Herbicide,AI,Rate,Cultivar,Rep,Run,Biomass,CNTRL_AVG,VSCNTRL,Biomass_Red.
2020,7,Xtendimax,dicamba,2240,X-59,2,1,0,0.33,0.00,1.00
2021,7,Xtendimax,dicamba,2240,X-59,3,1,0,0.33,0.00,1.00
,0,Control,clopyralid,0,X-59,1,1,0.12,0.33,0.37,0.63
,0,Control,clopyralid,0,X-59,2,1,0.4,0.33,1.00,0.00
,0,Control,clopyralid,0,X-59,3,1,0.46,0.33,1.00,0.00
,0,Control,clopyralid,0,X-59,4,1,0.45,0.33,1.00,0.00
,0,Control,clopyralid,0,X-59,5,1,0,0.33,0.00,1.00
,0,Control,clopyralid,0,X-59,6,1,0.53,0.33,1.00,0.00
2022,8,Stinger,clopyralid,19.7,X-59,1,1,0.3,0.33,0.91,0.09
2023,8,Stinger,clopyralid,19.7,X-59,2,1,0.24,0.33,0.73,0.27
2024,8,Stinger,clopyralid,19.7,X-59,3,1,0.34,0.33,1.00,0.00
2025,9,Stinger,clopyralid,39.5,X-59,1,1,0.33,0.33,1.00,0.00
2026,9,Stinger,clopyralid,39.5,X-59,2,1,0.23,0.33,0.70,0.30
2027,9,Stinger,clopyralid,39.5,X-59,3,1,0.26,0.33,0.79,0.21
2028,10,Stinger,clopyralid,79,X-59,1,1,0.07,0.33,0.21,0.79
2029,10,Stinger,clopyralid,79,X-59,2,1,0.1,0.33,0.30,0.70
2030,10,Stinger,clopyralid,79,X-59,3,1,0.45,0.33,1.00,0.00
2031,11,Stinger,clopyralid,118,X-59,1,1,0.25,0.33,0.76,0.24
2032,11,Stinger,clopyralid,118,X-59,2,1,0.17,0.33,0.52,0.48
2033,11,Stinger,clopyralid,118,X-59,3,1,0.56,0.33,1.00,0.00
2034,12,Stinger,clopyralid,158,X-59,1,1,0.02,0.33,0.06,0.94
2035,12,Stinger,clopyralid,158,X-59,2,1,0.03,0.33,0.09,0.91
2036,12,Stinger,clopyralid,158,X-59,3,1,0.04,0.33,0.12,0.88
2037,13,Stinger,clopyralid,316,X-59,1,1,0.03,0.33,0.09,0.91
2038,13,Stinger,clopyralid,316,X-59,2,1,0.04,0.33,0.12,0.88
2039,13,Stinger,clopyralid,316,X-59,3,1,0.04,0.33,0.12,0.88
2040,14,Stinger,clopyralid,630,X-59,1,1,0,0.33,0.00,1.00
2041,14,Stinger,clopyralid,630,X-59,2,1,0.32,0.33,0.97,0.03
2042,14,Stinger,clopyralid,630,X-59,3,1,0,0.33,0.00,1.00
,0,Control,"2,4-D",0,X-59,1,1,0.12,0.33,0.37,0.63
,0,Control,"2,4-D",0,X-59,2,1,0.4,0.33,1.00,0.00
,0,Control,"2,4-D",0,X-59,3,1,0.46,0.33,1.00,0.00
,0,Control,"2,4-D",0,X-59,4,1,0.45,0.33,1.00,0.00
,0,Control,"2,4-D",0,X-59,5,1,0,0.33,0.00,1.00
,0,Control,"2,4-D",0,X-59,6,1,0.53,0.33,1.00,0.00
2043,15,Enlist One,"2,4-D",100,X-59,1,1,0.29,0.33,0.88,0.12
2044,15,Enlist One,"2,4-D",100,X-59,2,1,0.56,0.33,1.00,0.00
2045,15,Enlist One,"2,4-D",100,X-59,3,1,0.29,0.33,0.88,0.12
2046,16,Enlist One,"2,4-D",200,X-59,1,1,0.45,0.33,1.00,0.00
2047,16,Enlist One,"2,4-D",200,X-59,2,1,0.27,0.33,0.82,0.18
2048,16,Enlist One,"2,4-D",200,X-59,3,1,0,0.33,0.00,1.00
2049,17,Enlist One,"2,4-D",400,X-59,1,1,0,0.33,0.00,1.00
2050,17,Enlist One,"2,4-D",400,X-59,2,1,0.27,0.33,0.82,0.18
2051,17,Enlist One,"2,4-D",400,X-59,3,1,0.03,0.33,0.09,0.91
2052,18,Enlist One,"2,4-D",600,X-59,1,1,0.24,0.33,0.73,0.27
2053,18,Enlist One,"2,4-D",600,X-59,2,1,0,0.33,0.00,1.00
2054,18,Enlist One,"2,4-D",600,X-59,3,1,0.05,0.33,0.15,0.85
2055,19,Enlist One,"2,4-D",800,X-59,1,1,0,0.33,0.00,1.00
2056,19,Enlist One,"2,4-D",800,X-59,2,1,0,0.33,0.00,1.00
2057,19,Enlist One,"2,4-D",800,X-59,3,1,0,0.33,0.00,1.00
2058,20,Enlist One,"2,4-D",1600,X-59,1,1,0,0.33,0.00,1.00
2059,20,Enlist One,"2,4-D",1600,X-59,2,1,0,0.33,0.00,1.00
2060,20,Enlist One,"2,4-D",1600,X-59,3,1,0,0.33,0.00,1.00
2061,21,Enlist One,"2,4-D",3200,X-59,1,1,0,0.33,0.00,1.00
2062,21,Enlist One,"2,4-D",3200,X-59,2,1,0,0.33,0.00,1.00
2063,21,Enlist One,"2,4-D",3200,X-59,3,1,0,0.33,0.00,1.00
,0,Control,dicamba,0,CRS-1,1,1,0.27,0.51,0.53,0.47
,0,Control,dicamba,0,CRS-1,2,1,0.63,0.51,1.00,0.00
,0,Control,dicamba,0,CRS-1,3,1,0.28,0.51,0.55,0.45
,0,Control,dicamba,0,CRS-1,4,1,0.41,0.51,0.80,0.20
,0,Control,dicamba,0,CRS-1,5,1,0.67,0.51,1.00,0.00
,0,Control,dicamba,0,CRS-1,6,1,0.78,0.51,1.00,0.00
2274,1,Xtendimax,dicamba,70,CRS-1,1,1,0.7,0.51,1.00,0.00
2275,1,Xtendimax,dicamba,70,CRS-1,2,1,0.53,0.51,1.00,0.00
2276,1,Xtendimax,dicamba,70,CRS-1,3,1,0.2,0.51,0.39,0.61
2277,2,Xtendimax,dicamba,140,CRS-1,1,1,0.4,0.51,0.78,0.22
2278,2,Xtendimax,dicamba,140,CRS-1,2,1,0.2,0.51,0.39,0.61
2279,2,Xtendimax,dicamba,140,CRS-1,3,1,0.6,0.51,1.00,0.00
2280,3,Xtendimax,dicamba,280,CRS-1,1,1,0.5,0.51,0.98,0.02
2281,3,Xtendimax,dicamba,280,CRS-1,2,1,0,0.51,0.00,1.00
2282,3,Xtendimax,dicamba,280,CRS-1,3,1,0.1,0.51,0.20,0.80
2283,4,Xtendimax,dicamba,420,CRS-1,1,1,0,0.51,0.00,1.00
2284,4,Xtendimax,dicamba,420,CRS-1,2,1,0,0.51,0.00,1.00
2285,4,Xtendimax,dicamba,420,CRS-1,3,1,0,0.51,0.00,1.00
2286,5,Xtendimax,dicamba,560,CRS-1,1,1,0,0.51,0.00,1.00
2287,5,Xtendimax,dicamba,560,CRS-1,2,1,0.12,0.51,0.24,0.76
2288,5,Xtendimax,dicamba,560,CRS-1,3,1,0,0.51,0.00,1.00
2289,6,Xtendimax,dicamba,1120,CRS-1,1,1,0,0.51,0.00,1.00
2290,6,Xtendimax,dicamba,1120,CRS-1,2,1,0,0.51,0.00,1.00
2291,6,Xtendimax,dicamba,1120,CRS-1,3,1,0,0.51,0.00,1.00
2292,7,Xtendimax,dicamba,2240,CRS-1,1,1,0,0.51,0.00,1.00
2293,7,Xtendimax,dicamba,2240,CRS-1,2,1,0,0.51,0.00,1.00
2294,7,Xtendimax,dicamba,2240,CRS-1,3,1,0,0.51,0.00,1.00
,0,Control,clopyralid,0,CRS-1,1,1,0.27,0.51,0.53,0.47
,0,Control,clopyralid,0,CRS-1,2,1,0.63,0.51,1.00,0.00
,0,Control,clopyralid,0,CRS-1,3,1,0.28,0.51,0.55,0.45
,0,Control,clopyralid,0,CRS-1,4,1,0.41,0.51,0.80,0.20
,0,Control,clopyralid,0,CRS-1,5,1,0.67,0.51,1.00,0.00
,0,Control,clopyralid,0,CRS-1,6,1,0.78,0.51,1.00,0.00
2295,8,Stinger,clopyralid,19.7,CRS-1,1,1,0.52,0.51,1.00,0.00
2296,8,Stinger,clopyralid,19.7,CRS-1,2,1,0.46,0.51,0.90,0.10
2297,8,Stinger,clopyralid,19.7,CRS-1,3,1,0.58,0.51,1.00,0.00
2298,9,Stinger,clopyralid,39.5,CRS-1,1,1,0.56,0.51,1.00,0.00
2299,9,Stinger,clopyralid,39.5,CRS-1,2,1,0.75,0.51,1.00,0.00
2300,9,Stinger,clopyralid,39.5,CRS-1,3,1,0.49,0.51,0.96,0.04
2301,10,Stinger,clopyralid,79,CRS-1,1,1,0.47,0.51,0.92,0.08
2302,10,Stinger,clopyralid,79,CRS-1,2,1,0.34,0.51,0.67,0.33
2303,10,Stinger,clopyralid,79,CRS-1,3,1,0.28,0.51,0.55,0.45
2304,11,Stinger,clopyralid,118,CRS-1,1,1,0.63,0.51,1.00,0.00
2305,11,Stinger,clopyralid,118,CRS-1,2,1,0.49,0.51,0.96,0.04
2306,11,Stinger,clopyralid,118,CRS-1,3,1,0.33,0.51,0.65,0.35
2307,12,Stinger,clopyralid,158,CRS-1,1,1,0.2,0.51,0.39,0.61
2308,12,Stinger,clopyralid,158,CRS-1,2,1,0.28,0.51,0.55,0.45
2309,12,Stinger,clopyralid,158,CRS-1,3,1,0.51,0.51,1.00,0.00
2310,13,Stinger,clopyralid,316,CRS-1,1,1,0.38,0.51,0.75,0.25
2311,13,Stinger,clopyralid,316,CRS-1,2,1,0,0.51,0.00,1.00
2312,13,Stinger,clopyralid,316,CRS-1,3,1,0,0.51,0.00,1.00
2313,14,Stinger,clopyralid,630,CRS-1,1,1,0.05,0.51,0.10,0.90
2314,14,Stinger,clopyralid,630,CRS-1,2,1,0,0.51,0.00,1.00
2315,14,Stinger,clopyralid,630,CRS-1,3,1,0.02,0.51,0.04,0.96
,0,Control,"2,4-D",0,CRS-1,1,1,0.27,0.51,0.53,0.47
,0,Control,"2,4-D",0,CRS-1,2,1,0.63,0.51,1.00,0.00
,0,Control,"2,4-D",0,CRS-1,3,1,0.28,0.51,0.55,0.45
,0,Control,"2,4-D",0,CRS-1,4,1,0.41,0.51,0.80,0.20
,0,Control,"2,4-D",0,CRS-1,5,1,0.67,0.51,1.00,0.00
,0,Control,"2,4-D",0,CRS-1,6,1,0.78,0.51,1.00,0.00
2316,15,Enlist One,"2,4-D",100,CRS-1,1,1,0.67,0.51,1.00,0.00
2317,15,Enlist One,"2,4-D",100,CRS-1,2,1,0.48,0.51,0.94,0.06
2318,15,Enlist One,"2,4-D",100,CRS-1,3,1,0.23,0.51,0.45,0.55
2319,16,Enlist One,"2,4-D",200,CRS-1,1,1,0,0.51,0.00,1.00
2320,16,Enlist One,"2,4-D",200,CRS-1,2,1,0.43,0.51,0.84,0.16
2321,16,Enlist One,"2,4-D",200,CRS-1,3,1,0.5,0.51,0.98,0.02
2322,17,Enlist One,"2,4-D",400,CRS-1,1,1,0.22,0.51,0.43,0.57
2323,17,Enlist One,"2,4-D",400,CRS-1,2,1,0.5,0.51,0.98,0.02
2324,17,Enlist One,"2,4-D",400,CRS-1,3,1,0,0.51,0.00,1.00
2325,18,Enlist One,"2,4-D",600,CRS-1,1,1,0.26,0.51,0.51,0.49
2326,18,Enlist One,"2,4-D",600,CRS-1,2,1,0.1,0.51,0.20,0.80
2327,18,Enlist One,"2,4-D",600,CRS-1,3,1,0.12,0.51,0.24,0.76
2328,19,Enlist One,"2,4-D",800,CRS-1,1,1,0.32,0.51,0.63,0.37
2329,19,Enlist One,"2,4-D",800,CRS-1,2,1,0.53,0.51,1.00,0.00
2330,19,Enlist One,"2,4-D",800,CRS-1,3,1,0.42,0.51,0.82,0.18
2331,20,Enlist One,"2,4-D",1600,CRS-1,1,1,0,0.51,0.00,1.00
2332,20,Enlist One,"2,4-D",1600,CRS-1,2,1,0,0.51,0.00,1.00
2333,20,Enlist One,"2,4-D",1600,CRS-1,3,1,0,0.51,0.00,1.00
2334,21,Enlist One,"2,4-D",3200,CRS-1,1,1,0,0.51,0.00,1.00
2335,21,Enlist One,"2,4-D",3200,CRS-1,2,1,0,0.51,0.00,1.00
2336,21,Enlist One,"2,4-D",3200,CRS-1,3,1,0,0.51,0.00,1.00
,0,Control,dicamba,0,X-59,1,2,0.39,0.39,0.99,0.01
,0,Control,dicamba,0,X-59,2,2,0.39,0.39,1.00,0.00
,0,Control,dicamba,0,X-59,3,2,0.44,0.39,1.00,0.00
,0,Control,dicamba,0,X-59,4,2,0,0.39,0.00,1.00
,0,Control,dicamba,0,X-59,5,2,0.27,0.39,0.69,0.31
,0,Control,dicamba,0,X-59,6,2,0.87,0.39,1.00,0.00
4001,1,Xtendimax,dicamba,70,X-59,1,2,0.23,0.39,0.59,0.41
4002,1,Xtendimax,dicamba,70,X-59,2,2,0.17,0.39,0.44,0.56
4003,1,Xtendimax,dicamba,70,X-59,3,2,0.17,0.39,0.44,0.56
4004,2,Xtendimax,dicamba,140,X-59,1,2,0.36,0.39,0.92,0.08
4005,2,Xtendimax,dicamba,140,X-59,2,2,0,0.39,0.00,1.00
4006,2,Xtendimax,dicamba,140,X-59,3,2,0.08,0.39,0.21,0.79
4007,3,Xtendimax,dicamba,280,X-59,1,2,0.22,0.39,0.56,0.44
4008,3,Xtendimax,dicamba,280,X-59,2,2,0,0.39,0.00,1.00
4009,3,Xtendimax,dicamba,280,X-59,3,2,0.41,0.39,1.00,0.00
4010,4,Xtendimax,dicamba,420,X-59,1,2,0.13,0.39,0.33,0.67
4011,4,Xtendimax,dicamba,420,X-59,2,2,0,0.39,0.00,1.00
4012,4,Xtendimax,dicamba,420,X-59,3,2,0,0.39,0.00,1.00
4013,5,Xtendimax,dicamba,560,X-59,1,2,0,0.39,0.00,1.00
4014,5,Xtendimax,dicamba,560,X-59,2,2,0,0.39,0.00,1.00
4015,5,Xtendimax,dicamba,560,X-59,3,2,0,0.39,0.00,1.00
4016,6,Xtendimax,dicamba,1120,X-59,1,2,0,0.39,0.00,1.00
4017,6,Xtendimax,dicamba,1120,X-59,2,2,0,0.39,0.00,1.00
4018,6,Xtendimax,dicamba,1120,X-59,3,2,0,0.39,0.00,1.00
4019,7,Xtendimax,dicamba,2240,X-59,1,2,0,0.39,0.00,1.00
4020,7,Xtendimax,dicamba,2240,X-59,2,2,0,0.39,0.00,1.00
4021,7,Xtendimax,dicamba,2240,X-59,3,2,0,0.39,0.00,1.00
,0,Control,clopyralid,0,X-59,1,2,0.39,0.39,0.99,0.01
,0,Control,clopyralid,0,X-59,2,2,0.39,0.39,1.00,0.00
,0,Control,clopyralid,0,X-59,3,2,0.44,0.39,1.13,-0.13
,0,Control,clopyralid,0,X-59,4,2,0,0.39,0.00,1.00
,0,Control,clopyralid,0,X-59,5,2,0.27,0.39,0.69,0.31
,0,Control,clopyralid,0,X-59,6,2,0.87,0.39,1.00,0.00
4022,8,Stinger,clopyralid,19.7,X-59,1,2,0.32,0.39,0.82,0.18
4023,8,Stinger,clopyralid,19.7,X-59,2,2,0,0.39,0.00,1.00
4024,8,Stinger,clopyralid,19.7,X-59,3,2,0,0.39,0.00,1.00
4025,9,Stinger,clopyralid,39.5,X-59,1,2,0.11,0.39,0.28,0.72
4026,9,Stinger,clopyralid,39.5,X-59,2,2,0.26,0.39,0.67,0.33
4027,9,Stinger,clopyralid,39.5,X-59,3,2,0,0.39,0.00,1.00
4028,10,Stinger,clopyralid,79,X-59,1,2,0,0.39,0.00,1.00
4029,10,Stinger,clopyralid,79,X-59,2,2,0.13,0.39,0.33,0.67
4030,10,Stinger,clopyralid,79,X-59,3,2,0.17,0.39,0.44,0.56
4031,11,Stinger,clopyralid,118,X-59,1,2,0.22,0.39,0.56,0.44
4032,11,Stinger,clopyralid,118,X-59,2,2,0,0.39,0.00,1.00
4033,11,Stinger,clopyralid,118,X-59,3,2,0,0.39,0.00,1.00
4034,12,Stinger,clopyralid,158,X-59,1,2,0.13,0.39,0.33,0.67
4035,12,Stinger,clopyralid,158,X-59,2,2,0.06,0.39,0.15,0.85
4036,12,Stinger,clopyralid,158,X-59,3,2,0.24,0.39,0.62,0.38
4037,13,Stinger,clopyralid,316,X-59,1,2,0,0.39,0.00,1.00
4038,13,Stinger,clopyralid,316,X-59,2,2,0,0.39,0.00,1.00
4039,13,Stinger,clopyralid,316,X-59,3,2,0,0.39,0.00,1.00
4040,14,Stinger,clopyralid,630,X-59,1,2,0,0.39,0.00,1.00
4041,14,Stinger,clopyralid,630,X-59,2,2,0.12,0.39,0.31,0.69
4042,14,Stinger,clopyralid,630,X-59,3,2,0,0.39,0.00,1.00
,0,Control,"2,4-D",0,X-59,1,2,0.39,0.39,0.99,0.01
,0,Control,"2,4-D",0,X-59,2,2,0.39,0.39,1.00,0.00
,0,Control,"2,4-D",0,X-59,3,2,0.44,0.39,1.00,0.00
,0,Control,"2,4-D",0,X-59,4,2,0,0.39,0.00,1.00
,0,Control,"2,4-D",0,X-59,5,2,0.27,0.39,0.69,0.31
,0,Control,"2,4-D",0,X-59,6,2,0.87,0.39,1.00,0.00
4043,15,Enlist One,"2,4-D",100,X-59,1,2,0.68,0.39,1.00,0.00
4044,15,Enlist One,"2,4-D",100,X-59,2,2,0,0.39,0.00,1.00
4045,15,Enlist One,"2,4-D",100,X-59,3,2,0.46,0.39,1.00,0.00
4046,16,Enlist One,"2,4-D",200,X-59,1,2,0,0.39,0.00,1.00
4047,16,Enlist One,"2,4-D",200,X-59,2,2,0,0.39,0.00,1.00
4048,16,Enlist One,"2,4-D",200,X-59,3,2,0.02,0.39,0.05,0.95
4049,17,Enlist One,"2,4-D",400,X-59,1,2,0.4,0.39,1.00,0.00
4050,17,Enlist One,"2,4-D",400,X-59,2,2,0,0.39,0.00,1.00
4051,17,Enlist One,"2,4-D",400,X-59,3,2,0.19,0.39,0.49,0.51
4052,18,Enlist One,"2,4-D",600,X-59,1,2,0.42,0.39,1.00,0.00
4053,18,Enlist One,"2,4-D",600,X-59,2,2,0.35,0.39,0.90,0.10
4054,18,Enlist One,"2,4-D",600,X-59,3,2,0,0.39,0.00,1.00
4055,19,Enlist One,"2,4-D",800,X-59,1,2,0.36,0.39,0.92,0.08
4056,19,Enlist One,"2,4-D",800,X-59,2,2,0.01,0.39,0.03,0.97
4057,19,Enlist One,"2,4-D",800,X-59,3,2,0,0.39,0.00,1.00
4058,20,Enlist One,"2,4-D",1600,X-59,1,2,0.06,0.39,0.15,0.85
4059,20,Enlist One,"2,4-D",1600,X-59,2,2,0.12,0.39,0.31,0.69
4060,20,Enlist One,"2,4-D",1600,X-59,3,2,0,0.39,0.00,1.00
4061,21,Enlist One,"2,4-D",3200,X-59,1,2,0,0.39,0.00,1.00
4062,21,Enlist One,"2,4-D",3200,X-59,2,2,0,0.39,0.00,1.00
4063,21,Enlist One,"2,4-D",3200,X-59,3,2,0,0.39,0.00,1.00
,0,Control,dicamba,0,CRS-1,1,2,0,0.58,0.00,1.00
,0,Control,dicamba,0,CRS-1,2,2,0.68,0.58,1.00,0.00
,0,Control,dicamba,0,CRS-1,3,2,1.19,0.58,1.00,0.00
,0,Control,dicamba,0,CRS-1,4,2,0.81,0.58,1.00,0.00
,0,Control,dicamba,0,CRS-1,5,2,0.27,0.58,0.47,0.53
,0,Control,dicamba,0,CRS-1,6,2,0.54,0.58,0.93,0.07
4274,1,Xtendimax,dicamba,70,CRS-1,1,2,0.14,0.58,0.24,0.76
4275,1,Xtendimax,dicamba,70,CRS-1,2,2,0.53,0.58,0.91,0.09
4276,1,Xtendimax,dicamba,70,CRS-1,3,2,0.54,0.58,0.93,0.07
4277,2,Xtendimax,dicamba,140,CRS-1,1,2,0,0.58,0.00,1.00
4278,2,Xtendimax,dicamba,140,CRS-1,2,2,0.27,0.58,0.47,0.53
4279,2,Xtendimax,dicamba,140,CRS-1,3,2,0,0.58,0.00,1.00
4280,3,Xtendimax,dicamba,280,CRS-1,1,2,0.28,0.58,0.48,0.52
4281,3,Xtendimax,dicamba,280,CRS-1,2,2,0.31,0.58,0.53,0.47
4282,3,Xtendimax,dicamba,280,CRS-1,3,2,0.37,0.58,0.64,0.36
4283,4,Xtendimax,dicamba,420,CRS-1,1,2,0,0.58,0.00,1.00
4284,4,Xtendimax,dicamba,420,CRS-1,2,2,0,0.58,0.00,1.00
4285,4,Xtendimax,dicamba,420,CRS-1,3,2,0.26,0.58,0.45,0.55
4286,5,Xtendimax,dicamba,560,CRS-1,1,2,0.03,0.58,0.05,0.95
4287,5,Xtendimax,dicamba,560,CRS-1,2,2,0,0.58,0.00,1.00
4288,5,Xtendimax,dicamba,560,CRS-1,3,2,0.06,0.58,0.10,0.90
4289,6,Xtendimax,dicamba,1120,CRS-1,1,2,0,0.58,0.00,1.00
4290,6,Xtendimax,dicamba,1120,CRS-1,2,2,0,0.58,0.00,1.00
4291,6,Xtendimax,dicamba,1120,CRS-1,3,2,0,0.58,0.00,1.00
4292,7,Xtendimax,dicamba,2240,CRS-1,1,2,0,0.58,0.00,1.00
4293,7,Xtendimax,dicamba,2240,CRS-1,2,2,0,0.58,0.00,1.00
4294,7,Xtendimax,dicamba,2240,CRS-1,3,2,0,0.58,0.00,1.00
,0,Control,clopyralid,0,CRS-1,1,2,0,0.58,0.00,1.00
,0,Control,clopyralid,0,CRS-1,2,2,0.68,0.58,1.00,0.00
,0,Control,clopyralid,0,CRS-1,3,2,1.19,0.58,1.00,0.00
,0,Control,clopyralid,0,CRS-1,4,2,0.81,0.58,1.00,0.00
,0,Control,clopyralid,0,CRS-1,5,2,0.27,0.58,0.47,0.53
,0,Control,clopyralid,0,CRS-1,6,2,0.54,0.58,0.93,0.07
4295,8,Stinger,clopyralid,19.7,CRS-1,1,2,0.61,0.58,1.00,0.00
4296,8,Stinger,clopyralid,19.7,CRS-1,2,2,0.45,0.58,0.78,0.22
4297,8,Stinger,clopyralid,19.7,CRS-1,3,2,0.22,0.58,0.38,0.62
4298,9,Stinger,clopyralid,39.5,CRS-1,1,2,0,0.58,0.00,1.00
4299,9,Stinger,clopyralid,39.5,CRS-1,2,2,0.25,0.58,0.43,0.57
4300,9,Stinger,clopyralid,39.5,CRS-1,3,2,0.67,0.58,1.00,0.00
4301,10,Stinger,clopyralid,79,CRS-1,1,2,0,0.58,0.00,1.00
4302,10,Stinger,clopyralid,79,CRS-1,2,2,0.45,0.58,0.78,0.22
4303,10,Stinger,clopyralid,79,CRS-1,3,2,0.36,0.58,0.62,0.38
4304,11,Stinger,clopyralid,118,CRS-1,1,2,0.15,0.58,0.26,0.74
4305,11,Stinger,clopyralid,118,CRS-1,2,2,0.47,0.58,0.81,0.19
4306,11,Stinger,clopyralid,118,CRS-1,3,2,0.66,0.58,1.00,0.00
4307,12,Stinger,clopyralid,158,CRS-1,1,2,0.46,0.58,0.79,0.21
4308,12,Stinger,clopyralid,158,CRS-1,2,2,0.73,0.58,1.00,0.00
4309,12,Stinger,clopyralid,158,CRS-1,3,2,0.59,0.58,1.00,0.00
4310,13,Stinger,clopyralid,316,CRS-1,1,2,0.04,0.58,0.07,0.93
4311,13,Stinger,clopyralid,316,CRS-1,2,2,0.35,0.58,0.60,0.40
4312,13,Stinger,clopyralid,316,CRS-1,3,2,0,0.58,0.00,1.00
4313,14,Stinger,clopyralid,630,CRS-1,1,2,0,0.58,0.00,1.00
4314,14,Stinger,clopyralid,630,CRS-1,2,2,0.04,0.58,0.07,0.93
4315,14,Stinger,clopyralid,630,CRS-1,3,2,0.19,0.58,0.33,0.67
,0,Control,"2,4-D",0,CRS-1,1,2,0,0.58,0.00,1.00
,0,Control,"2,4-D",0,CRS-1,2,2,0.68,0.58,1.00,0.00
,0,Control,"2,4-D",0,CRS-1,3,2,1.19,0.58,1.00,0.00
,0,Control,"2,4-D",0,CRS-1,4,2,0.81,0.58,1.00,0.00
,0,Control,"2,4-D",0,CRS-1,5,2,0.27,0.58,0.47,0.53
,0,Control,"2,4-D",0,CRS-1,6,2,0.54,0.58,0.93,0.07
4316,15,Enlist One,"2,4-D",100,CRS-1,1,2,0.36,0.58,0.62,0.38
4317,15,Enlist One,"2,4-D",100,CRS-1,2,2,0.34,0.58,0.59,0.41
4318,15,Enlist One,"2,4-D",100,CRS-1,3,2,0.93,0.58,1.00,0.00
4319,16,Enlist One,"2,4-D",200,CRS-1,1,2,0.68,0.58,1.00,0.00
4320,16,Enlist One,"2,4-D",200,CRS-1,2,2,0.84,0.58,1.00,0.00
4321,16,Enlist One,"2,4-D",200,CRS-1,3,2,0.58,0.58,1.00,0.00
4322,17,Enlist One,"2,4-D",400,CRS-1,1,2,0.39,0.58,0.67,0.33
4323,17,Enlist One,"2,4-D",400,CRS-1,2,2,0.4,0.58,0.69,0.31
4324,17,Enlist One,"2,4-D",400,CRS-1,3,2,0,0.58,0.00,1.00
4325,18,Enlist One,"2,4-D",600,CRS-1,1,2,0,0.58,0.00,1.00
4326,18,Enlist One,"2,4-D",600,CRS-1,2,2,0.72,0.58,1.00,0.00
4327,18,Enlist One,"2,4-D",600,CRS-1,3,2,0.29,0.58,0.50,0.50
4328,19,Enlist One,"2,4-D",800,CRS-1,1,2,0,0.58,0.00,1.00
4329,19,Enlist One,"2,4-D",800,CRS-1,2,2,0.4,0.58,0.69,0.31
4330,19,Enlist One,"2,4-D",800,CRS-1,3,2,0.25,0.58,0.43,0.57
4331,20,Enlist One,"2,4-D",1600,CRS-1,1,2,0.01,0.58,0.02,0.98
4332,20,Enlist One,"2,4-D",1600,CRS-1,2,2,0.68,0.58,1.00,0.00
4333,20,Enlist One,"2,4-D",1600,CRS-1,3,2,0.54,0.58,0.93,0.07
4334,21,Enlist One,"2,4-D",3200,CRS-1,1,2,0.48,0.58,0.83,0.17
4335,21,Enlist One,"2,4-D",3200,CRS-1,2,2,0,0.58,0.00,1.00
4336,21,Enlist One,"2,4-D",3200,CRS-1,3,2,0,0.58,0.00,1.00
,,Control,pendimethalin,0,X-59,1,1,0.43,0.30,1.00,0.00
,,Control,pendimethalin,0,X-59,2,1,0.43,0.3,1.00,0.00
